,kepid,tce_plnt_num,tce_period,tce_period_err,tce_time0bk,tce_time0bk_err,tce_duration,tce_duration_err,av_training_set
16706,9780149,1,2.51617,0.000335,132.19,0.00282,1.392,0.208,UNK
8766,6470973,1,0.509313,1e-05,131.708,0.00142,1.502,0.376,UNK
6127,6463047,1,1.55828,1.31e-05,131.728,0.00384,5.774,5.46,UNK
14058,9569711,1,6.05924,7.65e-06,133.671,0.000909,1.339,0.147,PC
9397,6604303,1,2.35471,5.77e-05,131.918,0.0159,5.849,0.213,UNK
18880,10686864,1,2.97043,8.36e-06,133.389,0.00167,2.258,0.363,PC
1916,4774321,1,17.023,0.000196,144.29,0.00959,11.12,0.734,UNK
11251,7698258,1,376.703,0.00602,282.577,0.0109,8.637,1.33,UNK
19352,12602567,2,0.511849,1.13e-05,131.747,0.00359,2.533,3.88,NTP
18230,11456154,2,7.00314,0.000108,133.819,0.0117,15.35,2.5,NTP
10636,7679812,1,38.5761,0.000194,167.861,0.00432,20.0,0.27,PC
16857,9913481,1,3.50474,4.13e-08,133.32,9.83e-06,7.879,0.00237,UNK
13838,9305012,1,1.12552,7.4e-06,131.56,0.00143,1.995,0.35,AFP
18982,10521496,2,2.60929,3.37e-05,132.718,0.0055,9.559,4.7,AFP
9854,8127684,1,0.836841,1e-05,131.67,0.00131,1.548,0.157,AFP
11947,8564976,1,152.826,0.000762,197.413,0.00447,22.55,0.217,AFP
18227,11455795,2,1.05773,4.38e-05,132.255,0.00491,0.7122,0.185,AFP
10776,7352776,1,0.918555,9.78e-06,131.794,0.00345,2.313,3.61,UNK
10819,7685981,1,4.40837,1.03e-05,132.519,0.00174,4.647,0.259,PC
19540,12356914,4,436.628,0.0358,362.133,0.0438,9.027,13.3,NTP
8955,6527050,1,0.879852,1.31e-05,131.766,0.00205,1.295,0.148,UNK
5602,5098444,1,26.9492,6.23e-06,151.02,0.000181,10.37,0.0117,AFP
4132,5650341,1,0.745444,6.8e-06,131.549,0.00132,2.274,0.58,NTP
2642,4679369,1,1.95526,1.71e-05,133.151,0.00512,4.252,1.98,AFP
11595,8644545,1,295.958,0.00206,138.928,0.00464,4.373,1.62,PC
9339,6614630,1,1.30293,2.15e-05,132.673,0.00843,5.21,15.9,UNK
7701,7204237,2,0.78642,2.4e-05,131.812,0.00977,2.585,7.29,AFP
8458,7289338,2,5.77453,4.86e-05,134.507,0.00622,3.289,0.431,PC
19089,10921757,1,1.79898,1.69e-05,131.696,0.00375,5.589,1.46,AFP
10319,8015907,1,2.75235,1.56e-06,132.727,0.000306,2.113,0.0642,PC
17692,11442465,1,33.9337,5.94e-05,152.744,0.00141,14.39,0.091,AFP
2989,3858919,1,25.9508,0.000691,148.987,0.0237,13.95,2.51,AFP
2098,4764008,1,0.657741,1.74e-05,131.949,0.00743,2.447,6.12,UNK
14540,9172981,1,1.09159,6.6e-06,132.546,0.00152,1.613,0.305,UNK
7390,5980061,1,0.630529,1.08e-05,132.0,0.00183,1.089,0.215,AFP
16376,10489019,1,0.781136,1.03e-05,131.571,0.00271,2.453,2.15,AFP
14190,9640123,1,8.25504,8.11e-05,135.213,0.00707,4.13,0.696,UNK
16185,10422241,2,1.21844,7.98e-06,132.396,0.00193,1.837,0.13,NTP
16532,9839081,2,1.27963,2.91e-06,132.261,0.000486,1.218,0.121,UNK
11579,8560285,1,85.3409,2.89e-05,215.53,0.000302,10.61,0.0164,AFP
2720,4839411,1,459.32,0.0106,260.215,0.0166,6.141,3.09,NTP
9526,6695622,1,14.5567,8.82e-05,135.699,0.0049,1.522,0.295,UNK
15020,9092940,4,89.1179,0.00244,172.993,0.0341,7.76,1.84,NTP
17629,11401822,1,2.16139,1.02e-05,131.869,0.0027,3.381,0.312,AFP
15638,10407221,1,0.933727,5.87e-06,131.525,0.00194,2.717,0.894,AFP
20277,11714150,3,1.36087,6.16e-05,132.504,0.0169,10.38,39.9,UNK
18425,10991360,1,0.552669,1.09e-05,131.847,0.00353,1.68,5.2,UNK
11540,8653563,1,1.1037,1.07e-05,131.767,0.00306,3.749,3.15,AFP
6756,5795522,1,4.3067,6.96e-05,135.226,0.0122,11.03,2.0,NTP
16266,10073672,1,2.25299,4.79e-06,132.235,0.00101,1.557,0.284,PC
2298,4930578,1,4.67358,8.15e-05,132.204,0.0131,13.26,7.42,AFP
2979,4374122,1,1.25554,1.63e-05,132.47,0.00461,3.586,1.31,UNK
14827,9051902,1,1.20183,3.39e-05,131.861,0.0212,1.45,0.148,UNK
6321,6115025,2,0.810739,2.19e-05,132.055,0.00597,4.359,21.9,NTP
10393,8086490,3,0.972826,1.53e-05,132.476,0.00663,3.912,13.3,AFP
18663,10931507,1,3.78098,5.94e-05,132.292,0.011,6.854,0.176,NTP
13800,9453452,2,1.697,3.68e-05,132.784,0.00924,8.919,34.3,NTP
866,3340313,1,30.5529,1.78e-05,143.349,0.000658,5.326,0.0202,AFP
1071,3626325,1,0.789197,1.14e-05,132.136,0.0014,2.962,0.735,UNK
20048,11775354,2,0.711695,1.84e-05,132.117,0.00866,1.991,11.5,AFP
17663,11124904,1,4.41171,3.27e-05,132.092,0.00473,11.85,1.42,AFP
8521,7292469,1,0.733695,1.12e-05,132.23,0.00335,2.079,2.47,AFP
14348,9490506,2,0.581625,1.44e-05,131.971,0.00354,2.042,1.25,AFP
14721,9159275,3,3.04488,4.54e-05,132.2,0.0493,7.068,3.47,AFP
1633,3098810,1,40.8096,9.38e-05,142.692,0.00197,3.132,0.187,PC
5288,4951711,1,0.661894,9.45e-06,131.864,0.00486,3.428,8.79,UNK
12198,8583770,1,0.690425,8.77e-06,131.609,0.00199,1.394,0.132,AFP
3414,3937814,3,8.1962,7.14e-05,135.096,0.00685,2.045,0.626,UNK
511,2719125,1,1.84493,1.52e-05,131.813,0.0046,3.987,2.18,AFP
7986,7050754,1,0.615776,1.43e-05,131.715,0.002,1.708,2.07,UNK
14334,9410527,1,2.39184,1.98e-05,131.815,0.00392,6.963,2.7,UNK
4617,5653126,1,38.4941,1.69e-05,152.878,0.00042,7.799,0.0256,UNK
13071,8331919,2,0.593118,1.41e-05,131.912,0.00277,1.397,0.761,UNK
9593,8018769,3,2.78623,3.8e-05,131.905,0.00762,9.585,11.0,AFP
18461,10747037,1,5.15963,6.53e-05,136.349,0.0089,8.161,1.06,UNK
12984,8223568,2,2.02553,1.83e-05,133.487,0.00429,4.881,0.648,AFP
14841,9139163,1,0.604779,1.15e-05,131.97,0.00247,1.954,0.365,NTP
8554,7115427,1,0.566771,0.000134,131.847,0.0514,1.819,52.2,NTP
5153,5303346,1,37.3248,4.08e-05,143.039,0.000871,7.03,0.065,AFP
13167,8229074,1,0.524246,9.31e-06,131.583,0.00129,1.169,0.319,UNK
16054,10329469,1,55.8227,0.000347,169.036,0.00538,5.558,1.04,PC
17640,11507101,1,38.3775,0.000162,134.442,0.00347,5.656,0.602,PC
5284,4940092,1,1.74328,2.94e-05,132.627,0.00836,6.188,4.48,NTP
8512,7217303,1,421.386,0.0084,220.111,0.0104,11.98,0.787,NTP
11213,7378020,2,0.52027,9.44e-06,132.017,0.00194,1.309,0.495,AFP
7030,5977470,1,140.253,0.00208,175.129,0.0119,7.127,0.937,PC
6403,6280952,2,0.740581,8.14e-06,131.874,0.00262,2.549,1.48,UNK
16068,10468883,1,0.661109,8.41e-06,131.891,0.00234,1.774,2.68,UNK
1125,3542167,1,4.51228,5.76e-05,132.737,0.00861,14.63,4.37,NTP
19008,10735519,1,1.81411,2.19e-06,131.946,0.000293,2.254,0.0167,AFP
164,2715135,1,5.74772,5.86e-06,133.298,0.000726,1.884,0.0773,PC
15837,10482774,1,0.502782,1.13e-05,131.53,0.00253,1.438,0.94,AFP
1099,3231406,3,0.515322,6.62e-05,131.983,0.0102,1.5,5.81,AFP
8278,6953692,1,14.2847,0.000418,140.212,0.0237,16.42,1.42,UNK
14804,8906676,2,8.20952,3.23e-07,138.17,2.85e-05,4.007,0.00153,AFP
12119,8491447,1,16.7421,0.000334,139.873,0.0164,14.63,0.414,UNK
5650,5019567,2,1.17439,1.06e-05,132.273,0.00238,3.146,0.721,AFP
2954,4075067,1,17.7477,1.16e-05,139.346,0.000519,4.705,0.0287,AFP
14204,9349226,1,4.77529,7.36e-05,136.025,0.011,12.32,2.57,AFP
14664,9205938,1,108.593,0.000904,173.753,0.00593,8.019,1.38,PC
18456,10724551,1,0.745027,2.62e-05,131.902,0.00864,2.207,2.47,AFP
11133,7755741,3,1.75174,1.16e-05,132.302,0.00249,2.357,0.133,AFP
5829,6461601,1,2.2801,2.91e-05,133.196,0.00628,5.085,1.29,NTP
10537,7816665,1,4.29257,2.32e-05,131.779,0.00407,3.041,0.419,AFP
4975,5308777,1,0.944604,2.98e-06,132.23,0.000637,2.841,0.393,AFP
156,2578891,1,2.32728,1.31e-05,132.235,0.00304,3.182,0.192,NTP
9010,6922690,2,0.970072,5.02e-06,132.208,0.00312,2.648,0.0417,AFP
10263,8036426,1,1.53283,1.61e-05,132.404,0.00514,5.756,7.66,NTP
6368,6421188,1,16.4344,7.78e-07,136.288,4.04e-05,5.192,0.00289,AFP
8216,6952966,3,1.47816,1.08e-05,131.642,0.0021,5.04,1.88,NTP
15956,10004660,1,0.621168,1.53e-05,131.94,0.00163,1.409,0.734,UNK
2941,3965201,1,5.0404,2.85e-05,135.96,0.00348,4.118,0.12,NTP
3275,4275328,1,6.15053,1.8e-06,132.521,0.00024,4.285,0.0129,AFP
14680,8906045,2,2.34798,3.35e-06,133.569,0.000575,0.6736,0.307,AFP
3455,4276821,2,1.76577,2.76e-05,132.48,0.00804,7.984,17.5,AFP
3504,4165903,1,1.23252,2.95e-05,132.753,0.0178,1.792,0.981,UNK
15468,10489206,1,4.16438,1.47e-06,133.609,0.000227,1.807,0.0853,PC
20205,12257449,3,0.52476,1.83e-05,131.9,0.00611,1.783,2.76,NTP
1395,3119604,2,0.562119,8.83e-06,131.837,0.00403,1.481,1.11,AFP
19561,11769929,2,1.07556,2.33e-05,132.086,0.00777,3.821,8.49,AFP
3143,4178389,1,23.2105,1.82e-06,134.386,6.68e-05,3.096,0.00608,AFP
18482,10971674,1,2.38086,5.08e-08,132.944,1.34e-05,4.091,0.00123,AFP
19904,12306058,2,20.4851,0.000296,146.93,0.0115,10.37,0.397,PC
14798,8845312,2,0.715263,1.25e-05,131.996,0.00505,2.471,0.313,UNK
10611,7458697,1,1.00912,5.51e-06,132.184,0.00173,1.849,0.909,AFP
13688,9532117,2,8.21412,5.78e-05,138.055,0.00537,2.958,0.432,AFP
16197,10006641,2,0.894194,6.25e-06,131.948,0.0013,1.219,0.0833,AFP
13272,8444868,4,67.4165,0.00116,196.138,0.0142,5.237,1.73,NTP
244,2442084,1,49.7886,3.67e-06,175.193,6.35e-05,7.398,0.00329,AFP
12095,8701662,2,1.06096,1.03e-05,131.502,0.00216,2.275,0.34,UNK
16929,9650501,2,0.677381,1.63e-05,131.817,0.00728,1.592,0.14,AFP
14996,8951215,1,39.4758,0.000129,133.836,0.00274,2.533,0.755,PC
17402,11502172,1,25.4319,1.96e-06,135.62,6.1e-05,5.448,0.522,AFP
12098,8719897,1,1.57572,0.0,131.688,0.0,2.5,0.0,UNK
1040,3241344,1,3.91268,4.17e-08,133.429,7.82e-06,3.651,0.000713,AFP
1422,3446471,1,0.670884,5.69e-05,131.696,0.00766,0.7229,0.629,AFP
12594,8414159,2,11.9311,7.23e-07,136.886,4.95e-05,5.453,0.00296,AFP
15390,9153554,1,0.747368,5.77e-06,131.964,0.000829,0.7647,0.0511,AFP
4146,5435620,4,0.652449,0.0,131.801,0.0,2.0,0.0,AFP
12788,8177748,1,0.763038,9.12e-06,132.244,0.00121,1.976,0.216,UNK
19868,11820830,2,12.732,9.18e-05,138.833,0.00588,18.02,0.142,AFP
3276,4275328,2,3.07525,3.72e-06,132.635,0.000744,3.382,0.0702,UNK
17318,9764506,4,0.67081,0.0,131.532,0.0,2.5,0.0,UNK
3193,4139816,3,46.1844,0.000285,165.235,0.00501,4.745,0.972,PC
4477,5554685,1,0.547311,8.71e-06,131.61,0.00316,2.439,8.29,UNK
10394,8086600,1,459.365,0.0152,260.113,0.0282,3.697,22.8,NTP
9620,8158127,3,16.9976,0.000156,143.864,0.00727,2.552,0.413,PC
7975,7021177,3,18.646,0.0,146.986,0.0,15.0,0.0,AFP
16134,10468940,1,2.93653,4.74e-06,132.781,0.000909,1.717,0.116,PC
1706,3240231,1,0.964901,1.92e-05,131.617,0.00354,3.297,0.533,AFP
11299,7587506,1,625.379,0.0126,311.428,0.0166,8.066,0.648,NTP
2089,4670267,2,2.0061,1.53e-05,133.396,0.00318,4.905,1.36,UNK
13632,9579789,1,2.1781,1.6e-05,132.047,0.00384,2.05,0.171,AFP
5325,5219774,1,397.114,0.0115,366.598,0.0177,15.26,4.49,UNK
20299,11923284,1,2.75797,3.44e-06,131.882,0.000667,2.059,0.0523,PC
17118,9655471,2,2.62424,1.47e-05,132.826,0.00271,7.212,1.84,AFP
6399,6233748,1,1.33682,1.67e-05,131.951,0.00505,3.19,2.33,UNK
17286,9944356,1,459.286,0.00751,260.273,0.0169,2.763,2.86,NTP
8580,7285616,1,0.566795,1.09e-05,131.8,0.00166,1.182,0.585,NTP
1410,3336765,1,1.84486,4.94e-06,132.162,0.00112,1.545,0.0457,AFP
5888,6462033,2,1.08242,1.02e-05,131.627,0.00126,2.893,0.413,UNK
8291,7032116,2,0.566797,1.15e-05,131.792,0.00319,1.769,0.939,NTP
12100,8733898,1,1.56541,2.13e-06,132.914,0.000352,0.8573,0.0671,PC
10255,7983299,1,707.616,0.0051,174.036,0.00703,11.96,1.65,NTP
4990,5022440,1,3.69395,1.67e-07,133.611,2.89e-05,2.248,0.00385,AFP
19433,11718839,2,0.538091,1.05e-05,131.651,0.00175,1.07,0.269,AFP
13758,9580794,3,1.56995,0.000108,131.927,0.0368,7.084,52.4,UNK
6785,5984278,2,2.25101,3.38e-05,132.014,0.00731,7.951,7.35,AFP
14093,9405595,1,23.3593,0.000108,144.02,0.00373,4.654,0.87,PC
1472,3337061,1,6.55852,2.82e-05,133.812,0.00337,1.898,0.11,AFP
13583,9612225,2,1.0878,1.58e-05,132.082,0.00591,4.506,9.96,UNK
18917,11021188,1,0.988069,1.31e-05,131.689,0.00759,1.177,0.131,UNK
14875,8950568,2,12.5136,5.39e-05,139.421,0.00345,4.45,0.541,PC
8365,7091610,1,459.192,0.00995,260.313,0.0164,11.68,1.2,NTP
19355,12643589,1,44.146,4.69e-05,167.389,0.000932,3.74,2.93,AFP
16389,10098534,1,41.8115,0.000411,166.524,0.00765,2.149,1.36,UNK
14220,9458613,3,31.7848,0.000154,135.87,0.00395,9.513,0.253,PC
14415,9491303,2,2.7356,1.63e-05,133.463,0.00248,4.341,0.383,AFP
13703,9614124,2,0.745912,1.27e-05,131.605,0.00388,1.88,1.25,AFP
6063,6448173,3,0.693182,1.23e-05,131.67,0.00392,2.639,2.48,AFP
14551,8842025,1,0.522435,7.03e-06,131.957,0.00114,1.212,0.183,AFP
10404,8153568,2,3.60796,0.0,131.702,0.0,7.5,0.0,AFP
17827,11551692,2,3.00515,1.01e-06,134.1,0.000175,1.987,0.0276,PC
18824,10732407,1,0.933743,1.06e-05,132.447,0.00228,1.435,0.214,AFP
1329,3758403,2,1.83105,1.1e-05,133.123,0.00152,3.007,0.137,AFP
5189,5114470,1,459.253,0.0108,260.34,0.015,3.577,5.51,NTP
14703,9051487,2,0.956463,1.34e-05,131.547,0.0029,1.087,0.123,AFP
1084,3756613,1,20.9207,0.000571,140.26,0.0221,16.42,0.942,UNK
724,1725016,1,7.40734,3.39e-05,133.281,0.00384,3.623,1.01,PC
1041,3241344,2,1.95634,1.43e-07,133.419,4.03e-05,3.38,0.0037,UNK
11998,8523595,3,2.04998,0.0,133.398,0.0,7.5,0.0,AFP
2464,4756040,3,0.933722,0.0,131.763,0.0,3.5,0.0,AFP
1,1292087,2,1.09524,1.01e-05,132.133,0.00269,2.122,0.476,UNK
10759,7703305,3,0.805971,1.66e-05,132.22,0.00567,2.622,9.31,AFP
10370,7940533,2,3.90553,6.81e-07,135.302,0.000112,6.31,0.00692,AFP
9892,7989348,2,1.0664,1.71e-05,131.974,0.00297,2.445,1.01,AFP
5561,5253740,3,0.626728,9.39e-06,131.758,0.00166,2.029,1.6,AFP
18274,11295805,4,2.05758,2.88e-05,131.634,0.0182,5.772,5.56,AFP
4665,5566636,1,1.21703,1.82e-05,131.871,0.00679,5.845,19.4,NTP
17751,11403044,1,4.12554,3.92e-06,132.623,0.000676,3.237,0.0785,PC
5392,5305128,2,3.13192,1.85e-05,132.161,0.00361,7.043,0.712,AFP
4195,5384194,1,1.24213,1.61e-05,132.725,0.00501,8.7,23.4,NTP
21,1293031,1,1.07861,1.27e-05,132.563,0.00391,3.461,1.36,UNK
3094,4349452,3,271.579,0.00439,164.84,0.0131,3.72,0.948,UNK
8400,6946871,3,2.17314,1.94e-05,132.609,0.00511,6.42,1.19,AFP
16273,10139691,3,2.26098,1.64e-05,133.55,0.00308,4.031,0.288,AFP
4338,5471769,1,12.4244,0.000238,141.662,0.0156,15.41,0.561,AFP
10234,7842286,3,1.59366,1.67e-05,132.74,0.00513,2.801,0.882,UNK
8043,7021689,2,1.09803,0.0,131.681,0.0,3.5,0.0,UNK
14782,9161894,2,2.40226,2.53e-05,133.084,0.00475,7.115,5.5,NTP
3735,5474424,1,0.617177,8.53e-06,131.868,0.000952,1.895,0.332,AFP
9105,6721523,1,2.58275,3.34e-05,133.745,0.00951,2.951,0.736,NTP
11629,8823397,1,1.5065,0.0,132.995,0.0,2.5,0.0,AFP
7292,5731451,1,0.937673,1.81e-05,132.224,0.00663,3.392,6.87,UNK
3851,5471328,5,12.4254,0.000392,132.656,0.0831,25.98,3.14,AFP
10809,7624741,2,1.40275,1.51e-05,132.831,0.0047,4.003,0.795,UNK
14888,9018502,1,0.792324,9.73e-06,131.757,0.00177,1.789,0.233,UNK
11590,8590553,1,0.501231,1.22e-05,131.594,0.00219,1.649,0.43,UNK
20268,12407395,2,0.54778,4.94e-05,131.643,0.0204,1.095,1.48,UNK
4321,5385838,8,6.21364,5.87e-05,134.271,0.0202,12.23,2.27,AFP
4162,5482494,1,3.28609,3.8e-05,133.064,0.00729,8.07,2.83,AFP
7100,6049108,1,2.90599,5.16e-05,133.025,0.012,11.23,19.6,UNK
15907,10090345,2,1.19948,1.29e-05,131.931,0.00359,4.765,1.72,AFP
1235,3428468,1,114.909,1.66e-05,199.451,0.000114,7.726,0.00645,AFP
2523,4736569,1,10.132,2.71e-05,132.91,0.00224,3.182,0.484,PC
15305,9025600,1,8.40115,0.000113,136.705,0.0102,11.36,0.678,AFP
11885,8552719,2,9.10966,2.32e-05,133.067,0.00198,5.376,0.12,PC
3213,4351414,1,0.518092,7.6e-06,131.87,0.000873,1.572,0.544,UNK
15317,9097423,1,0.594458,9.07e-06,131.739,0.00165,1.499,0.295,AFP
12868,8264287,1,0.854494,9.7e-06,131.886,0.00321,4.163,8.74,NTP
10356,7834441,1,0.997364,8.16e-06,132.088,0.00316,4.567,5.14,NTP
2307,4466677,1,3.22297,7.91e-06,132.95,0.00158,2.837,0.177,PC
5429,5174920,2,0.950471,1.08e-05,132.221,0.00393,2.941,0.533,AFP
17612,11192141,1,1.35378,4.51e-07,132.826,7.02e-05,3.483,0.0157,AFP
6446,6181674,1,0.857369,6.98e-06,131.645,0.00234,3.245,1.69,AFP
3131,4076061,1,566.286,0.0147,440.177,0.0186,14.48,3.33,UNK
5030,5302643,1,69.2005,0.00044,145.95,0.00539,5.326,0.31,AFP
13106,8227464,1,4.25893,4.21e-05,135.615,0.0069,4.11,0.402,UNK
2752,4484336,1,8.94343,3.78e-05,137.3,0.0033,2.538,0.209,PC
14903,9142773,1,406.73,0.0129,365.054,0.0168,12.45,8.06,NTP
17457,11457198,2,0.559091,8.85e-06,131.897,0.00375,2.243,0.911,UNK
18054,11495989,2,1.32744,1.26e-05,132.601,0.00196,1.54,0.0925,AFP
13255,8364249,1,0.659724,8.55e-06,132.045,0.0011,1.943,0.288,UNK
3399,4381016,1,0.609647,1.35e-05,131.698,0.00268,2.124,1.82,NTP
4705,5179979,1,1.5686,8.97e-06,131.549,0.00178,4.964,1.67,UNK
12434,8559796,1,0.619324,1.32e-05,131.539,0.00236,1.938,3.1,UNK
7655,6948054,3,17.461,5.63e-05,137.261,0.00275,2.434,0.381,PC
2790,4284125,1,467.515,0.0263,438.479,0.0282,18.46,5.72,UNK
6289,6309129,2,6.21685,6.57e-05,133.94,0.00776,16.24,1.84,AFP
15994,10328476,1,0.718434,9.17e-06,131.999,0.00203,2.087,1.46,UNK
14040,9456985,1,1.33693,1.24e-05,132.867,0.00371,3.597,0.935,NTP
10496,7947631,1,1.25828,8.99e-08,132.702,2.05e-05,1.839,0.00291,UNK
10367,7908367,1,12.2053,4.47e-05,134.178,0.00483,2.487,0.582,PC
14993,8908977,2,1.38222,1.06e-05,131.821,0.00734,4.152,1.79,AFP
321,2860793,1,2.62986,8.94e-06,132.074,0.00194,4.058,0.228,AFP
8996,6836589,1,0.727512,7.51e-06,131.624,0.00166,1.495,0.134,AFP
7111,5717567,1,1.28761,4.68e-06,132.433,0.000838,1.129,0.0306,AFP
19974,12470709,1,0.512169,6.53e-06,131.691,0.00159,1.324,0.44,AFP
3640,4366913,4,1.11525,6.91e-06,131.711,0.0025,1.5,0.131,AFP
17712,11619868,1,0.558146,0.0544,131.675,4.05,1.946,41.0,AFP
12787,8455998,1,0.651985,1.37e-05,131.849,0.00651,2.302,6.79,NTP
7989,7051180,1,1.95109,4.12e-07,132.178,7.89e-05,1.468,0.0211,AFP
1397,3221077,1,0.839513,1.94e-05,132.067,0.00235,2.048,1.79,UNK
7098,6048345,2,500.147,0.00304,268.168,0.00447,12.04,0.616,UNK
19771,12105785,2,31.953,1.99e-05,157.168,0.000491,3.845,0.03,AFP
3700,4283612,1,1.36658,1.37e-05,132.275,0.00405,4.901,4.46,NTP
20178,11876098,3,10.3624,0.000229,137.773,0.0143,13.87,0.988,AFP
11277,7379646,1,1.33616,5.43e-05,131.817,0.00866,4.467,4.62,AFP
4828,5129453,1,3.05769,1.39e-05,133.077,0.00281,1.959,0.135,PC
15716,10024701,1,14.375,3.95e-05,139.059,0.00225,2.917,0.177,PC
2880,3972391,1,0.634112,1.1e-05,131.79,0.00246,1.953,0.667,NTP
9365,6847018,2,16.6622,1.92e-05,132.783,0.000942,3.871,0.0547,AFP
18333,11231162,1,550.05,0.0203,258.464,0.0175,5.939,3.22,UNK
1193,3648289,1,28.9638,0.000206,146.807,0.00614,1.54,0.968,UNK
14177,9536048,1,3.71185,1.96e-05,132.655,0.00321,1.257,0.115,UNK
20166,11759685,1,0.822575,1.34e-05,132.257,0.00266,1.775,1.16,UNK
7793,7031421,1,0.566786,7.71e-06,131.841,0.00254,1.92,4.19,NTP
8609,6696381,1,2.25678,1.56e-05,132.52,0.00306,5.868,1.01,NTP
14484,9202151,1,1.69473,1.56e-06,131.657,0.000351,1.531,0.106,PC
19170,10549562,1,9.08939,1.94e-05,139.083,0.00167,5.735,0.0875,AFP
16184,10395543,1,3.68746,3.5e-07,134.007,4.71e-05,0.8784,0.013,PC
5482,5095635,1,0.754465,2.92e-06,131.961,0.00049,1.096,0.0314,PC
4342,5478337,1,1.45728,1.05e-05,131.532,0.00296,2.788,0.643,UNK
8377,7135042,1,3.55652,2.73e-05,132.565,0.00478,9.25,1.06,AFP
11428,7673841,3,7.87855,7.09e-05,138.585,0.0071,3.181,0.221,PC
9453,6604303,2,2.42506,1.13e-05,131.829,0.00191,1.87,0.125,UNK
6873,5738346,2,30.6113,0.000276,142.711,0.00825,5.983,1.58,AFP
13417,8261920,1,6.69333,1.83e-05,137.705,0.00204,1.894,0.231,PC
20280,11760959,1,3.4702,5.09e-06,134.009,0.00101,2.3,0.268,PC
2506,4574310,2,1.30616,5.89e-07,132.796,0.000198,3.624,0.0175,AFP
10674,7502559,2,0.960391,1.52e-05,132.123,0.00388,3.27,0.396,AFP
4529,5514383,1,6.88341,1.88e-06,138.245,0.000203,2.111,0.0346,PC
18970,10937527,1,4.11263,3.09e-05,135.365,0.00445,14.19,3.08,AFP
1813,4918925,1,484.677,0.00692,209.742,0.00705,10.75,0.789,UNK
1580,3228825,1,0.730965,5.21e-06,132.213,0.00117,2.321,0.393,AFP
120,1293379,1,27.5557,0.000868,132.201,0.0277,9.514,3.02,UNK
12698,8329728,3,9.84844,0.000162,132.197,0.0133,17.28,2.93,AFP
19791,12458817,1,15.0999,5.67e-05,140.818,0.00314,0.7447,0.216,UNK
13596,9336200,1,1.75585,4.53e-06,133.152,0.00105,1.773,0.075,PC
13757,9580794,2,1.38141,2.06e-05,131.855,0.00766,6.479,19.9,UNK
15734,10154094,3,1.1749,1.67e-05,132.391,0.0079,6.587,3.83,AFP
12252,8570117,3,0.748508,1.2e-05,131.521,0.00219,2.502,1.54,AFP
8382,7200102,3,14.6657,0.000133,139.581,0.00771,57.66,0.169,AFP
3704,4370956,1,0.546367,2.73e-05,131.564,0.00635,1.83,8.37,AFP
1661,3440074,2,1.17493,1.76e-05,132.297,0.00994,1.665,0.406,AFP
19798,11706518,2,6.93708,8.61e-05,137.888,0.00943,12.27,2.41,AFP
2701,4664466,1,503.357,0.00843,172.358,0.0111,14.44,1.65,NTP
15302,9005047,1,1.31672,1.94e-05,132.572,0.00663,5.338,11.8,NTP
4672,5636642,2,0.933475,0.0,131.652,0.0,1.5,0.0,AFP
6338,6233466,1,15.8736,0.0,143.843,0.0,6.0,0.0,AFP
4253,5650583,2,0.51864,1.33e-05,131.67,0.00211,1.072,1.21,AFP
7936,7121885,2,33.9375,9.74e-06,147.183,0.000269,11.11,0.0159,AFP
13540,9351622,5,0.998453,0.0,132.068,0.0,2.5,0.0,AFP
3592,3865567,2,11.1162,2.66e-05,140.841,0.00195,1.895,0.242,AFP
1129,3548369,2,0.672921,1.36e-05,131.763,0.0054,2.125,2.14,AFP
15978,10196750,1,459.266,0.0202,260.286,0.0294,5.481,5.84,NTP
944,3547178,3,5.86075,0.000149,131.535,0.0191,17.59,12.9,AFP
7863,7035099,2,1.15891,1.51e-05,131.813,0.00723,2.477,0.153,AFP
6298,6367365,1,1.09546,1.33e-05,131.793,0.00529,3.953,5.32,UNK
1722,3440710,1,0.799886,0.00647,131.861,1.83,0.6772,106.0,UNK
2197,4569590,1,41.3709,8.96e-05,166.465,0.00184,12.09,0.0722,AFP
7304,5808231,1,3.95804,4.3e-05,131.972,0.00727,4.347,0.606,UNK
6079,6148498,1,6.2349,7.55e-05,137.22,0.00889,14.15,3.52,AFP
17731,11193046,2,1.32147,1.36e-05,131.853,0.00193,2.808,0.81,NTP
19307,10676824,1,6.45442,1.02e-05,134.489,0.00115,2.592,0.222,PC
8483,7047207,1,19.1188,0.000149,138.425,0.00646,6.792,0.757,PC
5031,5308778,1,20.2828,9.48e-05,137.051,0.0034,34.95,0.0979,UNK
11201,7773209,1,3.1666,3.02e-05,132.124,0.00566,5.11,0.656,UNK
16987,9650808,2,125.603,0.00105,215.429,0.00585,7.101,1.9,PC
11849,8700529,1,459.278,0.0115,260.279,0.0192,3.915,1.6,NTP
14229,9490067,1,0.696237,1.11e-05,131.746,0.00127,1.994,0.283,UNK
664,2853320,1,5.06537,4.18e-05,135.016,0.00584,9.235,0.859,AFP
12976,8179325,1,3.1728,1.54e-05,133.981,0.00362,5.094,0.141,AFP
19678,11724210,2,5.74603,3.04e-06,134.914,0.000412,3.452,0.0299,AFP
1244,3542588,1,3.47146,9.57e-06,133.739,0.00181,3.482,0.0696,AFP
5785,6226293,3,0.805734,0.0,131.688,0.0,3.0,0.0,AFP
